0,0,40.193
1,0,10000
3,0,-46.546
9,0,10000
0,1,10000
1,1,21.765
2,1,10000
3,1,10000
4,1,-46.546
10,1,10000
1,2,10000
2,2,20.173
4,2,10000
5,2,-46.546
11,2,10000
0,3,-46.546
1,3,10000
3,3,20.173
4,3,10000
6,3,-46.546
9,3,10000
12,3,10000
1,4,-46.546
2,4,10000
3,4,10000
4,4,8.4183
5,4,10000
6,4,10000
7,4,-46.546
10,4,10000
13,4,10000
2,5,-46.546
4,5,10000
5,5,13.5
7,5,10000
8,5,-46.546
11,5,10000
14,5,10000
3,6,-46.546
4,6,10000
6,6,13.5
7,6,10000
12,6,10000
15,6,10000
4,7,-46.546
5,7,10000
6,7,10000
7,7,8.4183
8,7,10000
13,7,10000
16,7,10000
5,8,-46.546
7,8,10000
8,8,20.173
14,8,10000
17,8,10000
0,9,10000
3,9,10000
9,9,21.765
10,9,10000
12,9,-46.546
18,9,10000
1,10,10000
4,10,10000
9,10,10000
10,10,6.6733
11,10,10000
12,10,10000
13,10,-46.546
19,10,10000
2,11,10000
5,11,10000
10,11,10000
11,11,8.4183
13,11,10000
14,11,-46.546
20,11,10000
3,12,10000
6,12,10000
9,12,-46.546
10,12,10000
12,12,8.4183
13,12,10000
15,12,-46.546
18,12,10000
21,12,10000
4,13,10000
7,13,10000
10,13,-46.546
11,13,10000
12,13,10000
14,13,10000
15,13,10000
16,13,-46.546
19,13,10000
22,13,10000
5,14,10000
8,14,10000
11,14,-46.546
13,14,10000
14,14,8.4183
16,14,10000
17,14,-46.546
20,14,10000
23,14,10000
6,15,10000
12,15,-46.546
13,15,10000
15,15,8.4183
16,15,10000
21,15,10000
24,15,10000
7,16,10000
13,16,-46.546
14,16,10000
15,16,10000
16,16,6.6733
17,16,10000
22,16,10000
25,16,10000
8,17,10000
14,17,-46.546
16,17,10000
17,17,21.765
23,17,10000
26,17,10000
9,18,10000
12,18,10000
18,18,20.173
19,18,10000
21,18,-46.546
10,19,10000
13,19,10000
18,19,10000
19,19,8.4183
20,19,10000
21,19,10000
22,19,-46.546
11,20,10000
14,20,10000
19,20,10000
20,20,13.5
22,20,10000
23,20,-46.546
12,21,10000
15,21,10000
18,21,-46.546
19,21,10000
21,21,13.5
22,21,10000
24,21,-46.546
13,22,10000
16,22,10000
19,22,-46.546
20,22,10000
21,22,10000
22,22,8.4183
23,22,10000
24,22,10000
25,22,-46.546
14,23,10000
17,23,10000
20,23,-46.546
22,23,10000
23,23,20.173
25,23,10000
26,23,-46.546
15,24,10000
21,24,-46.546
22,24,10000
24,24,20.173
25,24,10000
16,25,10000
22,25,-46.546
23,25,10000
24,25,10000
25,25,21.765
26,25,10000
17,26,10000
23,26,-46.546
25,26,10000
26,26,40.193
